Accession	STD Annot.	Curated Loc.
AT3G59400.1	protein GENOMES UNCOUPLED 4	plastid
AT3G59780.1	Rhodanese/Cell cycle control phosphatase superfamily protein	thylakoid
AT3G59840.1	allyl alcohol dehydrogenase-like protein	plastid
AT3G59870.1	hypothetical protein	plastid stroma
AT3G59980.1	Nucleic acid-binding%2C OB-fold-like protein	plastid stroma
AT3G60210.1	GroES-like family protein	plastid stroma
AT3G60370.1	FKBP-like peptidyl-prolyl cis-trans isomerase family protein	thylakoid-peripheral-lumenal-side
AT3G60620.1	cytidinediphosphate diacylglycerol synthase 5	plastid
AT3G60750.1	Transketolase	plastid stroma
AT3G60750.2	Transketolase	plastid stroma
AT3G60880.1	dihydrodipicolinate synthase 1	plastid
AT3G60880.2	dihydrodipicolinate synthase 1	plastid
AT3G61080.1	Protein kinase superfamily protein	plastid stroma
AT3G61320.1	Bestrophin-like protein	thylakoid
AT3G61470.1	photosystem I light harvesting complex protein	thylakoid-integral
AT3G61870.1	plant/protein	plastid
AT3G61870.2	plant/protein	plastid
AT3G62030.1	rotamase CYP 4	plastid stroma
AT3G62030.2	rotamase CYP 4	plastid stroma
AT3G62030.3	rotamase CYP 4	plastid stroma
AT3G62410.1	CP12 domain-containing protein 2	plastid stroma
AT3G62530.1	ARM repeat superfamily protein	mitochondria; plastid
AT3G62590.1	alpha/beta-Hydrolases superfamily protein	plastid
AT3G62880.1	Mitochondrial import inner membrane translocase subunit Tim17/Tim22/Tim23 family protein	plastid
AT3G62880.2	Mitochondrial import inner membrane translocase subunit Tim17/Tim22/Tim23 family protein	plastid
AT3G62910.1	Peptide chain release factor 1	plastid
AT3G63110.1	isopentenyltransferase 3	plastid
AT3G63140.1	chloroplast stem-loop binding protein of 41 kDa	plastid stroma
AT3G63160.1	outer envelope membrane protein	envelope-outer-integral
AT3G63170.1	Chalcone-flavanone isomerase family protein	plastid stroma
AT3G63190.1	ribosome recycling factor%2C chloroplast precursor	plastid stroma
AT3G63370.1	Tetratricopeptide repeat (TPR)-like superfamily protein	plastid
AT3G63410.1	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	envelope-inner-integral
AT3G63490.1	Ribosomal protein L1p/L10e family	plastid ribosome
AT3G63490.2	Ribosomal protein L1p/L10e family	plastid ribosome
AT4G00030.1	Plastid-lipid associated protein PAP / fibrillin family protein	thylakoid-peripheral-stromal-side
AT4G00370.1	Major facilitator superfamily protein	envelope-inner-integral
AT4G00490.1	beta-amylase 2	plastid stroma
AT4G00550.1	digalactosyl diacylglycerol deficient 2	envelope-outer
AT4G00620.1	Amino acid dehydrogenase family protein	plastid stroma
AT4G00630.1	K+ efflux antiporter 2	envelope
AT4G00630.2	K+ efflux antiporter 2	envelope
AT4G01010.1	cyclic nucleotide-gated channel 13	thylakoid
AT4G01030.1	pentatricopeptide (PPR) repeat-containing protein	plastid
AT4G01037.1	Ubiquitin carboxyl-terminal hydrolase family protein	plastid stroma
AT4G01050.1	thylakoid rhodanese-like protein	thylakoid
AT4G01150.1	CURVATURE THYLAKOID 1A-like protein	thylakoid-integral
AT4G01150.2	CURVATURE THYLAKOID 1A-like protein	thylakoid-integral
AT4G01310.1	Ribosomal L5P family protein	plastid ribosome
AT4G01650.1	Polyketide cyclase / dehydrase and lipid transport protein	plastid stroma
AT4G01650.2	Polyketide cyclase / dehydrase and lipid transport protein	plastid stroma
AT4G01690.1	Flavin containing amine oxidoreductase family	plastid
AT4G01690.2	Flavin containing amine oxidoreductase family	plastid
AT4G01800.1	Albino or Glassy Yellow 1	plastid stroma; thylakoid-peripheral-stromal-side
AT4G01800.2	Albino or Glassy Yellow 1	plastid stroma; thylakoid-peripheral-stromal-side
AT4G01883.1	Polyketide cyclase / dehydrase and lipid transport protein	plastid
AT4G01900.1	nitrogen regulatory P-II-like protein	plastid stroma
AT4G01940.1	NFU domain protein 1	plastid stroma
AT4G02260.1	RELA/SPOT homolog 1	plastid
AT4G02260.2	RELA/SPOT homolog 1	plastid
AT4G02260.3	RELA/SPOT homolog 1	plastid
AT4G02510.1	translocon at the outer envelope membrane of chloroplasts 159	envelope-outer
AT4G02520.1	glutathione S-transferase PHI 2	cytosol; plasma membrane; plastid stroma
AT4G02530.1	chloroplast thylakoid lumen protein	thylakoid-peripheral-lumenal-side
AT4G02770.1	photosystem I subunit D-1	thylakoid-peripheral-stromal-side
AT4G02790.1	GTP-binding family protein	plastid stroma
AT4G02990.1	Mitochondrial transcription termination factor family protein	mitochondria; plastid
AT4G03150.1	plant/protein	plastid stroma
AT4G03200.1	catalytics	plastid stroma
AT4G03200.2	catalytics	plastid stroma
AT4G03280.1	photosynthetic electron transfer C	thylakoid-peripheral-lumenal-side
AT4G03280.2	photosynthetic electron transfer C	thylakoid-peripheral-lumenal-side
AT4G03320.1	translocon at the inner envelope membrane of chloroplasts 20-IV	envelope-inner-integral; mitochondria
AT4G03415.1	Protein phosphatase 2C family protein	plastid
AT4G03415.2	Protein phosphatase 2C family protein	plastid
AT4G03520.1	Thioredoxin superfamily protein	plastid stroma; thylakoid-peripheral-stromal-side
AT4G03520.2	Thioredoxin superfamily protein	plastid stroma; thylakoid-peripheral-stromal-side
AT4G04020.1	fibrillin	plastoglobules
AT4G04330.1	Chaperonin-like RbcX protein	plastid stroma
AT4G04350.1	tRNA synthetase class I (I%2C L%2C M and V) family protein	plastid stroma
AT4G04610.1	APS reductase 1	plastid stroma
AT4G04640.1	ATPase%2C F1 complex%2C gamma subunit protein	thylakoid-peripheral-stromal-side
AT4G04770.1	ATP binding cassette protein 1	plastid
AT4G04850.1	K+ efflux antiporter 3	thylakoid-integral
AT4G04850.2	K+ efflux antiporter 3	thylakoid-integral
AT4G05180.1	photosystem II subunit Q-2	thylakoid-peripheral-lumenal-side
AT4G05390.1	root FNR 1	plastid
AT4G05390.2	root FNR 1	plastid
AT4G08280.1	Thioredoxin superfamily protein	plastid
AT4G08390.1	stromal ascorbate peroxidase	mitochondria; plastid stroma
AT4G08390.2	stromal ascorbate peroxidase	mitochondria; plastid stroma
AT4G08390.3	stromal ascorbate peroxidase	mitochondria; plastid stroma
AT4G08390.4	stromal ascorbate peroxidase	mitochondria; plastid stroma
AT4G09010.1	ascorbate peroxidase 4	thylakoid-peripheral-lumenal-side
AT4G09020.1	isoamylase 3	plastid stroma
AT4G09040.1	RNA-binding (RRM/RBD/RNP motifs) family protein	plastid stroma
AT4G09040.2	RNA-binding (RRM/RBD/RNP motifs) family protein	plastid stroma
AT4G09080.1	Outer membrane OMP85 family protein	envelope-outer
AT4G09350.1	Chaperone DnaJ-domain superfamily protein	thylakoid
AT4G09620.1	Mitochondrial transcription termination factor family protein	plastid stroma
AT4G09650.1	F-type H+-transporting ATPase subunit delta	thylakoid-peripheral-stromal-side
AT4G09730.1	RH39	plastid nucleoid
AT4G10000.1	Thioredoxin family protein	plastid
AT4G10000.2	Thioredoxin family protein	plastid
AT4G10300.1	RmlC-like cupins superfamily protein	plastid
AT4G10340.1	light harvesting complex of photosystem II 5	thylakoid-integral
AT4G10750.1	Phosphoenolpyruvate carboxylase family protein	plastid stroma
AT4G11175.1	Nucleic acid-binding%2C OB-fold-like protein	plastid stroma
AT4G11570.1	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein	plastid stroma
AT4G11570.2	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein	plastid stroma
AT4G11910.1	STAY-GREEN-like protein	thylakoid
AT4G11960.1	PGR5-like B	thylakoid-integral
AT4G11960.2	PGR5-like B	thylakoid-integral
AT4G11980.1	nudix hydrolase homolog 14	plastid stroma
AT4G12030.1	bile acid transporter 5	plastid
AT4G12060.1	Double Clp-N motif protein	plastid stroma
AT4G12470.1	azelaic acid induced 1	envelope-outer
AT4G12800.1	photosystem I subunit l	thylakoid-integral
AT4G12830.1	alpha/beta-Hydrolases superfamily protein	plastid
AT4G13010.1	Oxidoreductase%2C zinc-binding dehydrogenase family protein	envelope-inner-peripheral-stromal-side
AT4G13200.1	hypothetical protein	plastoglobules
AT4G13250.1	NAD(P)-binding Rossmann-fold superfamily protein	thylakoid
AT4G13250.2	NAD(P)-binding Rossmann-fold superfamily protein	thylakoid
AT4G13430.1	isopropyl malate isomerase large subunit 1	plastid stroma
AT4G13500.1	transmembrane protein	plastid
AT4G13550.1	putative triglyceride lipase	plastid
AT4G13590.1	Uncharacterized protein family (UPF0016)	envelope-inner
AT4G13590.2	Uncharacterized protein family (UPF0016)	envelope-inner
AT4G13670.1	plastid transcriptionally active 5	plastid nucleoid
AT4G13830.1	DNAJ-like 20	plastid
AT4G13830.2	DNAJ-like 20	plastid
AT4G14070.1	acyl-activating enzyme 15	envelope-inner-peripheral-stromal-side
AT4G14210.1	phytoene desaturase 3	plastid
AT4G14210.2	phytoene desaturase 3	plastid
AT4G14510.1	CRM family member 3B	plastid stroma
AT4G14605.1	Mitochondrial transcription termination factor family protein	plastid
AT4G14680.1	Pseudouridine synthase/archaeosine transglycosylase-like family protein	plastid
AT4G14690.1	Chlorophyll A-B binding family protein	thylakoid-integral
AT4G14870.1	secE/sec61-gamma protein transport protein	thylakoid-integral
AT4G14890.1	2Fe-2S ferredoxin-like superfamily protein	plastid
AT4G15110.1	cytochrome P450%2C family 97%2C subfamily B%2C polypeptide 3	plastid
AT4G15440.1	hydroperoxide lyase 1	envelope-outer
AT4G15510.1	Photosystem II reaction center PsbP family protein	thylakoid-peripheral-lumenal-side
AT4G15510.2	Photosystem II reaction center PsbP family protein	thylakoid-peripheral-lumenal-side
AT4G15510.3	Photosystem II reaction center PsbP family protein	thylakoid-peripheral-lumenal-side
AT4G15530.1	pyruvate orthophosphate dikinase	plastid stroma
AT4G15530.3	pyruvate orthophosphate dikinase	cytosol; plastid stroma
AT4G15530.4	pyruvate orthophosphate dikinase	cytosol; plastid stroma
AT4G15530.5	pyruvate orthophosphate dikinase	cytosol; plastid stroma
AT4G15530.6	pyruvate orthophosphate dikinase	cytosol; plastid stroma
AT4G15560.1	Deoxyxylulose-5-phosphate synthase	plastid stroma
AT4G16060.1	hypothetical protein	plastid stroma
AT4G16155.1	dihydrolipoamide dehydrogenase	plastid
AT4G16160.1	Mitochondrial import inner membrane translocase subunit Tim17/Tim22/Tim23 family protein	plastid
AT4G16160.2	Mitochondrial import inner membrane translocase subunit Tim17/Tim22/Tim23 family protein	plastid
AT4G16390.1	pentatricopeptide (PPR) repeat-containing protein	plastid stroma
AT4G16820.1	alpha/beta-Hydrolases superfamily protein	plastid
AT4G17040.1	CLP protease R subunit 4	plastid stroma
AT4G17090.1	chloroplast beta-amylase	plastid stroma
AT4G17300.1	Class II aminoacyl-tRNA and biotin synthetases superfamily protein	mitochondria; plastid stroma
AT4G17540.1	dynamin	envelope
AT4G17560.1	Ribosomal protein L19 family protein	plastid ribosome
AT4G17600.1	Chlorophyll A-B binding family protein	thylakoid-integral
AT4G17740.1	Peptidase S41 family protein	thylakoid-peripheral-lumenal-side
AT4G17740.2	Peptidase S41 family protein	thylakoid-peripheral-lumenal-side
AT4G17840.1	CAAX protease self-immunity protein	thylakoid-integral
AT4G18240.1	starch synthase 4	plastid
AT4G18350.1	nine-cis-epoxycarotenoid dioxygenase 2	plastid
AT4G18370.1	DEGP protease 5	thylakoid-peripheral-lumenal-side
AT4G18440.1	L-Aspartase-like family protein	plastid stroma
AT4G18480.1	P-loop containing nucleoside triphosphate hydrolases superfamily protein	plastid stroma
AT4G18750.1	Pentatricopeptide repeat (PPR) superfamily protein	plastid
AT4G18810.1	NAD(P)-binding Rossmann-fold superfamily protein	plastid stroma
AT4G18810.2	NAD(P)-binding Rossmann-fold superfamily protein	plastid stroma
AT4G19100.1	PAM68-like protein (DUF3464)	thylakoid
AT4G19170.1	nine-cis-epoxycarotenoid dioxygenase 4	plastoglobules
AT4G19390.1	Uncharacterized protein family (UPF0114)	envelope
AT4G19710.1	aspartate kinase-homoserine dehydrogenase ii	plastid stroma
AT4G19710.2	aspartate kinase-homoserine dehydrogenase ii	plastid stroma
AT4G19985.1	Acyl-CoA N-acyltransferases (NAT) superfamily protein	plastid
AT4G20010.1	plastid transcriptionally active 9	plastid
AT4G20010.2	plastid transcriptionally active 9	plastid
AT4G20130.1	plastid transcriptionally active 14	plastid nucleoid
AT4G20360.1	RAB GTPase homolog E1B	plastid stroma
AT4G20760.1	NAD(P)-binding Rossmann-fold superfamily protein	plastid nucleoid
AT4G20850.1	tripeptidyl peptidase ii	plastid stroma
AT4G20960.1	Cytidine/deoxycytidylate deaminase family protein	plastid
AT4G21190.1	Pentatricopeptide repeat (PPR) superfamily protein	plastid
AT4G21210.1	PPDK regulatory protein	plastid stroma
AT4G21210.2	PPDK regulatory protein	plastid stroma
AT4G21280.1	photosystem II subunit QA	thylakoid-peripheral-lumenal-side
AT4G21280.2	photosystem II subunit QA	thylakoid-peripheral-lumenal-side
AT4G21445.1	receptor-interacting protein	plastid stroma
AT4G21860.1	methionine sulfoxide reductase B 2	plastid stroma
AT4G21860.2	methionine sulfoxide reductase B 2	plastid stroma
AT4G21860.3	methionine sulfoxide reductase B 2	plastid stroma
AT4G21990.1	APS reductase 3	plastid
AT4G21990.2	APS reductase 3	plastid
AT4G22240.1	Plastid-lipid associated protein PAP / fibrillin family protein	plastoglobules
AT4G22260.1	Alternative oxidase family protein	thylakoid-integral
AT4G22840.1	Sodium Bile acid symporter family	envelope-inner-integral
AT4G22890.1	PGR5-LIKE A	thylakoid-integral
AT4G22890.2	PGR5-LIKE A	thylakoid-integral
AT4G22890.3	PGR5-LIKE A	thylakoid-integral
AT4G22890.4	PGR5-LIKE A	thylakoid-integral
AT4G22890.5	PGR5-LIKE A	thylakoid-integral
AT4G22920.1	non-yellowing 1	thylakoid
AT4G22930.1	pyrimidin 4	plastid
AT4G23100.1	glutamate-cysteine ligase	plastid stroma
AT4G23100.2	glutamate-cysteine ligase	plastid stroma
AT4G23100.3	glutamate-cysteine ligase	plastid stroma
AT4G23890.1	NAD(P)H-quinone oxidoreductase subunit S	thylakoid
AT4G23940.1	FtsH extracellular protease family	envelope-inner
AT4G24090.1	homer protein	plastid
AT4G24280.1	chloroplast heat shock protein 70-1	plastid stroma
AT4G24460.1	CRT (chloroquine-resistance transporter)-like transporter 2	plastid
AT4G24620.1	phosphoglucose isomerase 1	plastid stroma
AT4G24620.2	phosphoglucose isomerase 1	plastid stroma
AT4G24750.1	Rhodanese/Cell cycle control phosphatase superfamily protein	plastid
AT4G24770.1	31-kDa RNA binding protein	plastid stroma
AT4G24830.1	arginosuccinate synthase family	plastid stroma
AT4G24830.2	arginosuccinate synthase family	plastid stroma
AT4G24930.1	thylakoid lumenal 17.9 kDa protein%2C chloroplast	thylakoid-peripheral-lumenal-side
AT4G25050.1	acyl carrier protein 4	plastid stroma
AT4G25050.2	acyl carrier protein 4	plastid stroma
AT4G25080.1	magnesium-protoporphyrin IX methyltransferase	plastid
AT4G25080.2	magnesium-protoporphyrin IX methyltransferase	plastid
AT4G25080.3	magnesium-protoporphyrin IX methyltransferase	plastid
AT4G25080.4	magnesium-protoporphyrin IX methyltransferase	plastid
AT4G25080.5	magnesium-protoporphyrin IX methyltransferase	plastid
AT4G25100.1	Fe superoxide dismutase 1	cytosol; plastid stroma
AT4G25100.2	Fe superoxide dismutase 1	cytosol; plastid stroma
AT4G25100.3	Fe superoxide dismutase 1	cytosol; plastid stroma
AT4G25100.4	Fe superoxide dismutase 1	cytosol; plastid stroma
AT4G25100.5	Fe superoxide dismutase 1	cytosol; plastid stroma
AT4G25130.1	peptide met sulfoxide reductase 4	plastid stroma
AT4G25270.1	Tetratricopeptide repeat (TPR)-like superfamily protein	plastid
AT4G25370.1	Double Clp-N motif protein	plastid stroma
AT4G25450.1	non-intrinsic ABC protein 8	envelope-inner-integral
AT4G25450.2	non-intrinsic ABC protein 8	envelope-inner-integral
AT4G25450.3	non-intrinsic ABC protein 8	envelope-inner-integral
AT4G25650.1	ACD1-like protein	envelope-inner
AT4G25650.2	ACD1-like protein	envelope-inner
AT4G25700.1	beta-hydroxylase 1	plastid
AT4G25700.2	beta-hydroxylase 1	plastid
AT4G25910.1	NFU domain protein 3	plastid stroma
AT4G26160.1	atypical CYS HIS rich thioredoxin 1	plastid stroma
AT4G26300.1	Arginyl-tRNA synthetase%2C class Ic	plastid stroma
AT4G26370.1	antitermination NusB domain-containing protein	plastid stroma
AT4G26370.2	antitermination NusB domain-containing protein	plastid stroma
AT4G26500.1	chloroplast sulfur E	plastid
AT4G26555.1	FKBP-like peptidyl-prolyl cis-trans isomerase family protein	plastid
AT4G26670.1	Mitochondrial import inner membrane translocase subunit Tim17/Tim22/Tim23 family protein	envelope-outer
AT4G26900.1	HIS HF	plastid stroma
AT4G27030.1	fatty acid desaturase A	plastid
AT4G27440.1	protochlorophyllide oxidoreductase B	thylakoid-peripheral-stromal-side
AT4G27440.2	protochlorophyllide oxidoreductase B	thylakoid-peripheral-stromal-side
AT4G27600.1	pfkB-like carbohydrate kinase family protein	plastid
AT4G27670.1	heat shock protein 21	plastid stroma
AT4G27700.1	Rhodanese/Cell cycle control phosphatase superfamily protein	thylakoid
AT4G27800.1	thylakoid-associated phosphatase 38	thylakoid-peripheral-stromal-side
AT4G27800.2	thylakoid-associated phosphatase 38	thylakoid-peripheral-stromal-side
AT4G27800.3	thylakoid-associated phosphatase 38	thylakoid-peripheral-stromal-side
AT4G27990.1	YGGT family protein	plastid
AT4G28025.1	hypothetical protein	plastid
AT4G28025.2	hypothetical protein	plastid
AT4G28030.1	Acyl-CoA N-acyltransferases (NAT) superfamily protein	plastid stroma
AT4G28030.2	Acyl-CoA N-acyltransferases (NAT) superfamily protein	plastid stroma
AT4G28210.1	embryo defective 1923	plastid
AT4G28590.1	polyadenylate-binding protein 2-binding protein	plastid nucleoid
AT4G28660.1	photosystem II reaction center PSB28 protein	thylakoid-peripheral-lumenal-side
AT4G28660.2	photosystem II reaction center PSB28 protein	thylakoid-peripheral-lumenal-side
AT4G28706.1	pfkB-like carbohydrate kinase family protein	plastid stroma
AT4G28706.2	pfkB-like carbohydrate kinase family protein	plastid stroma
AT4G28706.3	pfkB-like carbohydrate kinase family protein	plastid stroma
AT4G28730.1	Glutaredoxin family protein	plastid
AT4G28740.1	LOW PSII ACCUMULATION-like protein	thylakoid
AT4G28750.1	Photosystem I reaction centre subunit IV / PsaE protein	thylakoid-peripheral-stromal-side
AT4G29060.1	elongation factor Ts family protein	plastid ribosome
AT4G29060.2	elongation factor Ts family protein	plastid stroma
AT4G29590.1	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	plastid stroma
AT4G29670.1	atypical CYS HIS rich thioredoxin 2	plastid stroma
AT4G29670.2	atypical CYS HIS rich thioredoxin 2	plastid stroma
AT4G29750.1	CRS1 / YhbY (CRM) domain-containing protein	plastid
AT4G29840.1	Pyridoxal-5'-phosphate-dependent enzyme family protein	plastid stroma
AT4G30490.1	AFG1-like ATPase family protein	mitochondria; plastid
AT4G30580.1	Phospholipid/glycerol acyltransferase family protein	envelope-inner-integral
AT4G30620.1	Putative BCR%2C YbaB family COG0718	plastid stroma
AT4G30690.1	Translation initiation factor 3 protein	plastid stroma
AT4G30690.2	Translation initiation factor 3 protein	plastid stroma
AT4G30720.1	FAD/NAD(P)-binding oxidoreductase family protein	plastid stroma
AT4G30825.1	Tetratricopeptide repeat (TPR)-like superfamily protein	plastid nucleoid
AT4G30910.1	Cytosol aminopeptidase family protein	plastid stroma
AT4G30920.1	Cytosol aminopeptidase family protein	plastid
AT4G30950.1	fatty acid desaturase 6	envelope-inner-integral
AT4G31040.1	CemA-like proton extrusion protein-like protein	plastid
AT4G31050.1	Biotin/lipoate A/B protein ligase family	plastid
AT4G31210.1	DNA topoisomerase%2C type IA%2C core	plastid nucleoid
AT4G31290.1	ChaC-like family protein	plastid
AT4G31390.1	Protein kinase superfamily protein	plastoglobules
AT4G31390.2	Protein kinase superfamily protein	plastoglobules
AT4G31530.1	NAD(P)-binding Rossmann-fold superfamily protein	plastid stroma; thylakoid-peripheral-stromal-side
AT4G31530.2	NAD(P)-binding Rossmann-fold superfamily protein	plastid stroma; thylakoid-peripheral-stromal-side
AT4G31560.1	high chlorophyll fluorescence 153	thylakoid-integral
AT4G31780.1	monogalactosyl diacylglycerol synthase 1	envelope-inner
AT4G31780.2	monogalactosyl diacylglycerol synthase 1	envelope-inner
AT4G31850.1	proton gradient regulation 3	plastid nucleoid
AT4G31870.1	glutathione peroxidase 7	plastid stroma
AT4G31990.1	aspartate aminotransferase 5	plastid stroma
AT4G31990.2	aspartate aminotransferase 5	plastid stroma
AT4G31990.3	aspartate aminotransferase 5	plastid stroma
AT4G31990.4	aspartate aminotransferase 5	plastid stroma
AT4G32250.1	Protein kinase superfamily protein	plastid
AT4G32250.2	Protein kinase superfamily protein	plastid
AT4G32250.3	Protein kinase superfamily protein	plastid
AT4G32260.1	ATPase%2C F0 complex%2C subunit B/B'%2C bacterial/chloroplast	thylakoid-integral
AT4G32400.1	Mitochondrial substrate carrier family protein	envelope-inner-integral; mitochondria
AT4G32520.1	serine hydroxymethyltransferase 3	plastid stroma
AT4G32520.2	serine hydroxymethyltransferase 3	plastid stroma
AT4G32770.1	tocopherol cyclase%2C chloroplast / vitamin E deficient 1 (VTE1) / sucrose export defective 1 (SXD1)	plastoglobules
AT4G32810.1	carotenoid cleavage dioxygenase 8	plastid
AT4G32915.1	glutamyl-tRNA(Gln) amidotransferase subunit C	mitochondria; plastid stroma
AT4G33030.1	sulfoquinovosyldiacylglycerol 1	plastid stroma
AT4G33350.1	Tic22-like family protein	envelope-intermembranespace
AT4G33350.2	Tic22-like family protein	envelope-outer
AT4G33460.1	ABC transporter family protein	envelope
AT4G33470.1	histone deacetylase 14	plastid
AT4G33480.1	BTB/POZ domain protein TNFAIP protein	plastid
AT4G33500.1	Protein phosphatase 2C family protein	plastid stroma
AT4G33510.1	3-deoxy-d-arabino-heptulosonate 7-phosphate synthase	plastid
AT4G33510.2	3-deoxy-d-arabino-heptulosonate 7-phosphate synthase	plastid
AT4G33520.1	P-type ATP-ase 1	envelope-inner
AT4G33520.2	P-type ATP-ase 1	envelope-inner
AT4G33520.3	P-type ATP-ase 1	envelope-inner
AT4G33580.1	beta carbonic anhydrase 5	plastid stroma
AT4G33580.2	beta carbonic anhydrase 5	plastid stroma
AT4G33630.1	UvrB/UvrC domain protein (DUF3506)	thylakoid
AT4G33630.2	UvrB/UvrC domain protein (DUF3506)	thylakoid
AT4G33650.1	dynamin-related protein 3A	envelope-inner
AT4G33650.2	dynamin-related protein 3A	envelope-inner
AT4G33680.1	Pyridoxal phosphate (PLP)-dependent transferases superfamily protein	plastid stroma
AT4G33760.1	tRNA synthetase class II (D%2C K and N) family protein	mitochondria; plastid stroma
AT4G34020.1	Class I glutamine amidotransferase-like superfamily protein	plastid
AT4G34020.2	Class I glutamine amidotransferase-like superfamily protein	plastid
AT4G34090.1	cyclin delta-3	plastid stroma
AT4G34090.2	cyclin delta-3	plastid stroma
AT4G34090.3	cyclin delta-3	plastid stroma
AT4G34120.1	Cystathionine beta-synthase (CBS) family protein	plastid stroma
AT4G34190.1	stress enhanced protein 1	thylakoid-integral
AT4G34200.1	D-3-phosphoglycerate dehydrogenase	plastid
AT4G34240.1	aldehyde dehydrogenase 3I1	envelope
AT4G34240.2	aldehyde dehydrogenase 3I1	envelope
AT4G34350.1	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	plastid stroma
AT4G34620.1	small subunit ribosomal protein 16	mitochondria; plastid ribosome
AT4G34710.1	arginine decarboxylase 2	cytosol; plastid
AT4G34710.2	arginine decarboxylase 2	cytosol; plastid
AT4G34730.1	ribosome-binding factor A family protein	plastid stroma
AT4G34740.1	GLN phosphoribosyl pyrophosphate amidotransferase 2	plastid
AT4G34830.1	Pentatricopeptide repeat (PPR) superfamily protein	plastid
AT4G35080.1	high-affinity nickel-transport family protein	plastid
AT4G35130.1	Tetratricopeptide repeat (TPR)-like superfamily protein	plastid
AT4G35250.1	NAD(P)-binding Rossmann-fold superfamily protein	thylakoid
AT4G35440.1	chloride channel E	thylakoid-integral
AT4G35440.2	chloride channel E	thylakoid-integral
AT4G35630.1	phosphoserine aminotransferase	plastid stroma
AT4G35760.1	NAD(P)H dehydrogenase (quinone)s	thylakoid-integral
AT4G35770.1	Rhodanese/Cell cycle control phosphatase superfamily protein	plastid
AT4G35770.2	Rhodanese/Cell cycle control phosphatase superfamily protein	plastid
AT4G35770.3	Rhodanese/Cell cycle control phosphatase superfamily protein	plastid
AT4G36040.1	Chaperone DnaJ-domain superfamily protein	plastid
AT4G36390.1	Methylthiotransferase	plastid
AT4G36530.1	alpha/beta-Hydrolases superfamily protein	plastid
AT4G36530.2	alpha/beta-Hydrolases superfamily protein	plastid
AT4G36810.1	geranylgeranyl pyrophosphate synthase 1	plastid stroma
AT4G36910.1	Cystathionine beta-synthase (CBS) family protein	plastid stroma
AT4G37000.1	accelerated cell death 2 (ACD2)	mitochondria; thylakoid
AT4G37040.1	methionine aminopeptidase 1D	mitochondria; plastid stroma
AT4G37200.1	Thioredoxin superfamily protein	thylakoid-peripheral-stromal-side
AT4G37270.1	heavy metal atpase 1	envelope
AT4G37510.1	Ribonuclease III family protein	plastid stroma
AT4G37920.1	endoribonuclease E-like protein	plastid
AT4G37925.1	subunit NDH-M of NAD(P)H:plastoquinone dehydrogenase complex	thylakoid
AT4G38020.1	tRNA/rRNA methyltransferase (SpoU) family protein	plastid
AT4G38100.1	CURVATURE THYLAKOID 1D-like protein	thylakoid
AT4G38160.1	Mitochondrial transcription termination factor family protein	mitochondria; plastid stroma
AT4G38160.2	Mitochondrial transcription termination factor family protein	mitochondria; plastid stroma
AT4G38160.3	Mitochondrial transcription termination factor family protein	mitochondria; plastid stroma
AT4G38225.1	glycerol kinase	plastid stroma
AT4G38225.2	glycerol kinase	plastid stroma
AT4G38225.3	glycerol kinase	plastid stroma
AT4G38380.1	MATE efflux family protein	envelope-inner-integral
AT4G38460.1	geranylgeranyl reductase	plastid stroma
AT4G38490.1	transmembrane protein	envelope-inner
AT4G38970.1	fructose-bisphosphate aldolase 2	plastid stroma; plastoglobules
AT4G38970.2	fructose-bisphosphate aldolase 2	plastid stroma; plastoglobules
AT4G39030.1	MATE efflux family protein	envelope
AT4G39040.1	RNA-binding CRS1 / YhbY (CRM) domain protein	plastid stroma
AT4G39040.2	RNA-binding CRS1 / YhbY (CRM) domain protein	plastid stroma
AT4G39120.1	inositol monophosphatase family protein	plastid
AT4G39210.1	Glucose-1-phosphate adenylyltransferase family protein	plastid stroma
AT4G39460.1	S-adenosylmethionine carrier 1	envelope-inner-integral
AT4G39460.2	S-adenosylmethionine carrier 1	envelope-inner-integral
AT4G39620.1	Tetratricopeptide repeat (TPR)-like superfamily protein	plastid
AT4G39620.2	Tetratricopeptide repeat (TPR)-like superfamily protein	plastid
AT4G39710.1	FK506-binding protein 16-2	thylakoid-peripheral-lumenal-side
AT4G39710.2	FK506-binding protein 16-2	thylakoid-peripheral-lumenal-side
AT4G39940.1	APS-kinase 2	plastid
AT4G39960.1	Molecular chaperone Hsp40/DnaJ family protein	thylakoid
AT4G39970.1	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein	plastid stroma
AT4G39980.1	3-deoxy-D-arabino-heptulosonate 7-phosphate synthase 1	plastid
AT5G01220.1	sulfoquinovosyldiacylglycerol 2	envelope
AT5G01500.1	thylakoid ATP/ADP carrier	thylakoid
AT5G01530.1	light harvesting complex photosystem II	thylakoid-integral
AT5G01590.1	histone-lysine N-methyltransferase ATXR3-like protein	envelope
AT5G01600.1	ferretin 1	plastid stroma
AT5G01650.1	Tautomerase/MIF superfamily protein	plastid
AT5G01650.2	Tautomerase/MIF superfamily protein	plastid
