"Protein numbers (Bouchnak et al., Mol Cell Proteomics 2019) "	TAIR AGI	"Simplified location AT_CHLORO (Ferro et al., 2010)"	"Simplified location (Bouchnak et al., Mol Cell Proteomics 2019) "
454	AT3G20240	nd	ENV?
455	AT5G64500	nd	ENV?
456	AT1G13820	nd	ENV?
457	AT5G40050	nd	ENV?
458	AT2G06010	nd	ENV?
459	AT3G01660	nd	ENV?
460	AT4G28000	nd	ENV?
461	AT2G29700	nd	ENV?
462	AT5G56850	nd	ENV?
			
463	AT5G62390	nd	OTH-ERGV?
464	AT5G28540	ENV-STR	OTH-ERGV
465	AT5G42020	nd	OTH-ERGV
466	AT5G61790	ENV	OTH-ERGV
467	AT1G08450	nd	OTH-ERGV
468	AT4G24190	nd	OTH-ERGV
469	AT3G44330	nd	OTH-ERGV?
470	AT2G25110	nd	OTH-ERGV
471	AT5G20520	nd	OTH-ERGV
472	AT1G65020	n/a	OTH-ERGV?
473	AT5G66680	nd	OTH-ERGV?
474	AT2G44490	nd	OTH-ERGV?
475	AT1G52400	ENV	OTH-ERGV?
476	AT3G57030	nd	OTH-ERGV
477	AT4G31500	nd	OTH-ERGV
478	AT3G19820	ENV	OTH-ERGV
479	AT5G57655	nd	OTH-ERGV
480	AT4G13770	nd	OTH-ERGV
481	AT5G63840	nd	OTH-ERGV
482	AT5G48810	nd	OTH-ERGV
483	AT1G67730	nd	OTH-ERGV
484	AT4G23850	nd	OTH-ERGV?
485	AT2G04350	ENV	OTH-ERGV?
486	AT5G13640	nd	OTH-ERGV
487	AT5G17770	nd	OTH-ERGV
488	AT1G50430	nd	OTH-ERGV
489	AT1G20050	nd	OTH-ERGV?
490	AT2G30490	nd	OTH-ERGV
491	AT4G36220	nd	OTH-ERGV
492	AT5G12200	nd	OTH-ERGV
493	AT1G04430	nd	OTH-ERGV
494	AT3G04830	nd	OTH-ERGV?
495	AT4G24920	nd	OTH-ERGV?
496	AT5G14030	nd	OTH-ERGV?
497	AT1G48440	nd	OTH-ERGV?
498	AT5G42570	nd	OTH-ERGV?
499	AT3G17780	nd	OTH-ERGV?
500	AT1G29310	nd	OTH-ERGV?
501	AT4G12300	nd	OTH-ERGV
502	AT1G21750	nd	OTH-ERGV
503	AT1G77510	nd	OTH-ERGV?
504	AT3G54960	nd	OTH-ERGV
505	AT5G60640	nd	OTH-ERGV
506	AT2G47470	nd	OTH-ERGV
507	AT1G35620	nd	OTH-ERGV?
508	AT4G21150	nd	OTH-ERGV
509	AT3G51830	nd	OTH-ERGV
510	AT5G39590	nd	OTH-ERGV?
511	AT1G26120	nd	OTH-ERGV?
512	AT3G59920	nd	OTH-ERGV
513	AT1G56330	nd	OTH-ERGV?
514	AT3G46830	nd	OTH-ERGV?
515	AT4G09720	nd	OTH-ERGV
516	AT5G46860	nd	OTH-ERGV?
517	AT5G65270	nd	OTH-ERGV?
518	AT1G43890	nd	OTH-ERGV?
519	AT1G06400	nd	OTH-ERGV?
520	AT3G46060	ENV	OTH-ERGV?
521	AT4G17530	ENV	OTH-ERGV?
522	AT4G17170	ENV	OTH-ERGV?
523	AT2G44610	ENV	OTH-ERGV?
524	AT1G22740	ENV	OTH-ERGV?
525	AT4G18430	nd	OTH-ERGV?
526	AT4G35860	n/a	OTH-ERGV?
