Aspartokinase	Aspartokinase	(EC 2.7.2.4)
"Benzoylated glucosinolates modification, unresolved step"	"Benzoylated glucosinolates modification, unresolved step"	
Beta-amylase	Beta-amylase	(EC 3.2.1.2)
"Beta-fructofuranosidase, fructan exohydrolase"	"Beta-fructofuranosidase, fructan exohydrolase"	(EC 3.2.1.80)
Beta-phosphoglucomutase	Beta-phosphoglucomutase	(EC 5.4.2.6)
Beta-ureidopropionase	Beta-ureidopropionase	(EC 3.5.1.6)
Beta-xylosidase	Beta-xylosidase	(EC 3.2.1.37)
Acetyl-CoA carboxylase	Biotin carboxyl carrier domain of homomeric Acetyl-CoA carboxylase	
Acetyl-CoA carboxylase	Biotin carboxyl carrier protein of acetyl-CoA carboxylase	
Biotin synthase	Biotin synthase	(EC 2.8.1.6)
Biotin--protein ligase	Biotin--protein ligase	(EC 6.3.4.9)(EC 6.3.4.10)(EC 6.3.4.11)(EC 6.3.4.15)
Branched-chain alpha-keto acid dehydrogenase	"Branched-chain alpha-keto acid dehydrogenase, E1 component, alpha subunit"	(EC 1.2.4.4)
Branched-chain alpha-keto acid dehydrogenase	"Branched-chain alpha-keto acid dehydrogenase, E1 component, beta subunit (EC 1.2.4.4)"	
Branched-chain amino acid aminotransferase	Branched-chain amino acid aminotransferase	(EC 2.6.1.42)
"CDP-N-methylethanolamine--1,2-diacylglycerol phosphatidyltransferase"	"CDP-N-methylethanolamine--1,2-diacylglycerol phosphatidyltransferase"	(EC 2.7.8.-)
CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	(EC 2.7.8.5)
CDP-diacylglycerol--inositol 3-phosphatidyltransferase	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	(EC 2.7.8.11)
CDP-diacylglycerol--serine O-phosphatidyltransferase	CDP-diacylglycerol--serine O-phosphatidyltransferase	(EC 2.7.8.8)
CTP synthase	CTP synthase	(EC 6.3.4.2)
CYP81F4 monooxygenase	CYP81F4 monooxygenase	
Caffeic-o-methyltransferase	Caffeic-o-methyltransferase	(EC 2.1.1.68)
Caffeoyl-CoA O-methyltransferase	Caffeoyl-CoA O-methyltransferase	(EC 2.1.1.104)
Callose synthase	Callose synthase	(EC 2.4.1.34)
Carbamoyl-phosphate synthase	Carbamoyl-phosphate synthase large chain	(EC 6.3.5.5)
Carbamoyl-phosphate synthase	Carbamoyl-phosphate synthase small chain	(EC 6.3.5.5)
Carbonic anhydrase	Carbonic anhydrase	(EC 4.2.1.1)
Cardiolipin synthetase	Cardiolipin synthetase	(EC 2.7.8.-)
Catalase	Catalase	(EC 1.11.1.6)
Ceramide glucosyltransferase	Ceramide glucosyltransferase	(EC 2.4.1.80)
Ceramide hydroxylase	Ceramide hydroxylase	
Ceramide kinase	Ceramide kinase	(EC 2.7.1.138)
Chalcone synthase	Chalcone synthase	(EC 2.3.1.74)
Chlorophyll a synthase	Chlorophyll a synthase ChlG	(EC 2.5.1.62)
Choline kinase	Choline kinase	(EC 2.7.1.32)
Cholinephosphate cytidylyltransferase	Cholinephosphate cytidylyltransferase	(EC 2.7.7.15)
Chorismate mutase	Chorismate mutase III	(EC 5.4.99.5)
Chorismate synthase	Chorismate synthase	(EC 4.2.3.5)
Cinnamoyl-CoA reductase	Cinnamoyl-CoA reductase	(EC 1.2.1.44)
Cinnamyl alcohol dehydrogenase/reductase	Cinnamyl alcohol dehydrogenase/reductase	(EC 1.1.1.195)
Citrate synthase	Citrate synthase (si)	(EC 2.3.3.1)
Citrate/Isocitrate antiporter	Citrate/Isocitrate antiporter	
Coniferin beta-glucosidase	Coniferin beta-glucosidase	(EC 3.2.1.126)
Coniferyl-alcohol and sinapyl-alcohol glucosyltransferase	Coniferyl-alcohol and sinapyl-alcohol glucosyltransferase	(EC 2.4.1.111)
Coniferyl-aldehyde dehydrogenase	Coniferyl-aldehyde dehydrogenase	(EC 1.2.1.68)
Coproporphyrinogen III oxidase	"Coproporphyrinogen III oxidase, aerobic"	(EC 1.3.3.3)
Cyanoalanine nitrilase	Cyanoalanine nitrilase	(EC 3.5.5.4)
Cyclopropane desaturase	Cyclopropane desaturase (no EC)	
Cyclopropane-fatty-acyl-phospholipid synthase	Cyclopropane-fatty-acyl-phospholipid synthase	"(EC 2.1.1.79), plant type"
Cystathionine beta-lyase	Cystathionine beta-lyase	(EC 4.4.1.8)
Cystathionine gamma-synthase	Cystathionine gamma-synthase	(EC 2.5.1.48)
Cystathionine gamma-synthase	"Cystathionine gamma-synthase, O-phospho-L-homoserine dependent"	(EC 2.5.1.-)
Cysteine desulfurase	Cysteine desulfurase	"(EC 2.8.1.7), IscS subfamily"
